fid,cleabs,code_hydrographique,nature,toponyme,statut_du_toponyme,importance,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,statut,influence_de_la_maree,caractere_permanent,altitude_moyenne,referentiel_de_l_altitude_moyenne,mode_d_obtention_de_l_altitude_moy,precision_de_l_altitude_moyenne,hauteur_d_eau_maximale,mode_d_obtention_de_la_hauteur,commentaire_sur_l_objet_hydro
"32",PLANDEAU0000000040207666,06P0000000040207666,Lac,Baisse de Tallon,Validé,"5",2006/11/22 12:22:15,2018/07/02 15:58:07,,,,,Validé,,vrai,,,,,,,
"33",PLANDEAU0000000040207672,06P0000000040207672,Lac,Baisse d'Olive,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"34",PLANDEAU0000000040207677,06P0000000040207677,Lac,Clos de la Nourrice,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"35",PLANDEAU0000000040207703,06P0000000040207703,Lac,Pesquier,Validé,"5",2006/11/22 12:22:15,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"36",PLANDEAU0000000040207708,06P0000000040207708,Lac,Clos Desclaux,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"37",PLANDEAU0000000040207718,06P0000000040207718,Lac,Étang du Boulin,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"38",PLANDEAU0000000040207719,06P0000000040207719,Lac,Baisse de Pilaton,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"39",PLANDEAU0000000040207723,06P0000000040207723,Lac,Baisse de la Blancarde,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"40",PLANDEAU0000000040207731,06P0000000040207731,Lac,Baisse de la Cindre,Validé,"5",2006/11/22 12:22:15,2021/03/18 22:15:56,,,,,Validé,,faux,,,,,,,
"41",PLANDEAU0000000040207738,06P0000000040207738,Lac,Étang de la Grille,Validé,"5",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"42",PLANDEAU0000000040207739,06P0000000040207739,Lac,Clos de Mansoulène,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"43",PLANDEAU0000000040207740,06P0000000040207740,Retenue,Étang des Deux Pins,Validé,"4",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"44",PLANDEAU0000000040207744,06P0000000040207744,Lac,Clos de la Comète,Validé,"4",2006/11/22 12:22:15,2020/05/15 22:25:52,,,,,Validé,,vrai,,,,,,,
"45",PLANDEAU0000000040207755,06P0000000040207755,Lac,Étang de Bolmon,Validé,"2",2006/11/22 12:22:15,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"46",PLANDEAU0000000040207782,06P0000000040207782,Lac,Bassin du Gloria,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"47",PLANDEAU0000000040207784,06P0000000040207784,Lac,Clos d'Argent,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"48",PLANDEAU0000000040207835,06P0000000040207835,Lac,Étang du Napoléon,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"49",PLANDEAU0000000040207840,06P0000000040207840,Lac,Baisse Neuve,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
